Worker_ID,Name,Age,Gender,Department,Job_Title,Experience_Years,Salary,Shift,Attendance_Percent
1,Kiran Kumar,43,Male,Packaging,Helper,22,40181,Evening,97.2
2,Deepa Singh,53,Female,Production,Helper,6,52274,Night,82.9
3,Priya Patel,45,Female,Packaging,Operator,8,33758,Evening,86.9
4,Suresh Singh,32,Male,Assembly,Technician,17,51647,Night,84.7
5,Suresh Patel,49,Male,Maintenance,Operator,7,33734,Evening,77.9
6,,43,Female,,Operator,12,,Night,95.2
7,Suresh Singh,42,Female,Maintenance,Helper,24,42386,Night,97.8
8,Priya Singh,42,Female,Production,Technician,2,38726,Morning,77.9
9,Suresh Sharma,36,Female,Maintenance,Technician,24,34960,Morning,91.8
10,Kiran Kumar,28,Male,Maintenance,Operator,14,22984,Morning,93.2
11,Priya Patel,49,Female,Maintenance,Technician,2,44051,Night,92.6
12,Anita Sharma,49,Female,Production,Helper,21,36073,Morning,79.0
13,Priya Reddy,32,Male,Maintenance,Technician,10,30787,Morning,95.4
14,Suresh Kumar,37,Female,Packaging,Technician,5,47387,Night,84.6
15,Anita Kumar,21,Male,Maintenance,Technician,1,37294,Evening,98.1
16,,33,Male,,Operator,25,,Evening,94.9
17,Amit Kumar,55,Female,Production,Technician,3,20028,Night,77.9
18,Rahul Sharma,33,Male,Production,Technician,15,19546,Evening,83.1
19,Amit Reddy,41,Female,Maintenance,Technician,22,55749,Morning,76.3
20,Rahul Sharma,52,Female,Maintenance,Operator,5,29434,Morning,91.8
21,Deepa Patel,48,Female,Assembly,Helper,23,58215,Evening,76.9
22,Deepa Reddy,41,Male,Production,Operator,6,45203,Morning,77.7
23,Sunil Kumar,44,Female,Packaging,Technician,23,19016,Morning,85.4
24,Sunil Kumar,52,Female,Packaging,Operator,17,55629,Night,84.8
25,Asif Sharma,46,Female,Assembly,Technician,19,35799,Morning,90.6
26,Asif Reddy,47,Female,Packaging,Operator,19,36815,Morning,86.5
27,Sunil Kumar,22,Female,Maintenance,Operator,14,43453,Evening,90.6
28,Kiran Kumar,32,Male,Assembly,Helper,4,43976,Night,89.5
29,Ravi Kumar,30,Male,Assembly,Technician,4,30471,Evening,76.1
30,Ravi Kumar,21,Female,Production,Helper,4,28486,Night,83.9
31,Kiran Kumar,31,Male,Assembly,Helper,23,50832,Evening,88.0
32,Deepa Patel,44,Female,Assembly,Operator,18,27975,Morning,85.7
33,Rahul Kumar,43,Female,Assembly,Helper,6,32329,Evening,85.1
34,Deepa Sharma,28,Female,Assembly,Technician,16,42864,Night,96.0
35,Rahul Kumar,34,Female,Production,Technician,9,34210,Evening,81.3
36,,23,Male,,Technician,19,,Evening,91.8
37,Rahul Sharma,29,Female,Maintenance,Helper,24,34470,Morning,95.5
38,Anita Kumar,24,Male,Packaging,Technician,25,45624,Morning,88.8
39,Kiran Kumar,32,Male,Assembly,Helper,8,47307,Morning,96.1
40,Ravi Patel,38,Female,Production,Helper,13,47855,Night,77.2
41,Amit Reddy,27,Male,Packaging,Technician,24,25834,Morning,83.3
42,Priya Patel,21,Female,Packaging,Technician,3,35280,Morning,84.0
43,Rahul Singh,53,Female,Packaging,Operator,5,24719,Night,88.2
44,Priya Sharma,31,Female,Maintenance,Technician,7,40820,Evening,87.1
45,Deepa Sharma,31,Female,Production,Helper,10,25358,Morning,83.0
46,Deepa Sharma,41,Female,Production,Helper,18,58261,Evening,96.3
47,Priya Kumar,53,Male,Maintenance,Technician,17,22975,Evening,98.4
48,Kiran Reddy,24,Female,Packaging,Helper,10,46907,Night,98.1
49,Asif Reddy,57,Female,Maintenance,Helper,21,55922,Evening,76.6
50,Priya Reddy,48,Male,Maintenance,Technician,20,36086,Evening,88.2
51,Sunil Reddy,40,Male,Packaging,Operator,1,22341,Evening,96.8
52,Anita Singh,22,Female,Packaging,Operator,2,57008,Morning,97.6
53,Suresh Singh,42,Female,Maintenance,Operator,23,45538,Night,78.4
54,Kiran Singh,38,Male,Packaging,Helper,25,53567,Night,96.0
55,Anita Kumar,28,Female,Assembly,Technician,14,40857,Night,87.6
56,Suresh Patel,58,Female,Packaging,Operator,25,39400,Night,91.8
57,Kiran Reddy,25,Female,Production,Helper,24,21785,Night,93.4
58,Asif Singh,58,Male,Assembly,Operator,7,32709,Morning,86.4
59,Deepa Sharma,58,Female,Assembly,Operator,16,50085,Evening,91.1
60,Anita Reddy,37,Female,Packaging,Technician,4,55295,Night,83.9
61,Priya Singh,53,Female,Packaging,Helper,10,32894,Morning,89.3
62,Amit Patel,45,Male,Packaging,Operator,3,22671,Evening,79.1
63,Amit Sharma,55,Female,Assembly,Technician,23,42494,Evening,91.7
64,Asif Kumar,48,Female,Assembly,Technician,3,58115,Night,81.8
65,Rahul Reddy,52,Female,Packaging,Operator,12,52074,Morning,95.8
66,Sunil Singh,38,Male,Maintenance,Operator,16,22311,Morning,88.4
67,Amit Singh,51,Male,Maintenance,Helper,19,39220,Evening,80.0
68,Ravi Sharma,52,Male,Production,Operator,4,36864,Morning,83.0
69,Amit Reddy,33,Female,Production,Operator,18,47507,Morning,87.9
70,Priya Patel,55,Female,Packaging,Technician,8,56900,Morning,97.9
71,Sunil Singh,31,Male,Assembly,Helper,20,22968,Night,77.8
